customer_id,age_group,city,occupation,gender,marital status,avg_income
ATQCUS1825,45+,Bengaluru,Salaried IT Employees,Male,Married,73523
ATQCUS0809,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922
ATQCUS0663,25-34,Chennai,Salaried Other Employees,Male,Married,37702
ATQCUS0452,25-34,Delhi NCR,Government Employees,Male,Married,54090
ATQCUS3350,21-24,Bengaluru,Freelancers,Male,Single,28376
ATQCUS3256,21-24,Delhi NCR,Salaried IT Employees,Male,Single,46586
ATQCUS3608,25-34,Chennai,Freelancers,Male,Single,34966
ATQCUS0611,25-34,Chennai,Salaried IT Employees,Male,Married,59078
ATQCUS3856,21-24,Bengaluru,Salaried Other Employees,Female,Single,30424
ATQCUS2640,35-45,Delhi NCR,Salaried IT Employees,Female,Married,67450
ATQCUS3008,45+,Mumbai,Government Employees,Female,Married,62542
ATQCUS2365,25-34,Chennai,Salaried IT Employees,Female,Married,62738
ATQCUS1141,35-45,Delhi NCR,Business Owners,Male,Married,72301
ATQCUS2853,35-45,Chennai,Business Owners,Female,Married,74783
ATQCUS3020,45+,Delhi NCR,Salaried IT Employees,Female,Married,73754
ATQCUS2442,25-34,Chennai,Government Employees,Female,Married,54575
ATQCUS3943,25-34,Delhi NCR,Salaried IT Employees,Female,Single,60269
ATQCUS1679,45+,Mumbai,Salaried Other Employees,Male,Married,41845
ATQCUS0744,25-34,Chennai,Freelancers,Male,Married,33831
ATQCUS3335,21-24,Bengaluru,Business Owners,Male,Single,54149
ATQCUS0846,25-34,Hyderabad,Business Owners,Male,Married,68634
ATQCUS2462,25-34,Hyderabad,Salaried IT Employees,Female,Married,65608
ATQCUS0916,35-45,Mumbai,Salaried IT Employees,Male,Married,63264
ATQCUS3766,21-24,Mumbai,Salaried IT Employees,Female,Single,47229
ATQCUS1285,35-45,Bengaluru,Business Owners,Male,Married,74263
ATQCUS3870,21-24,Chennai,Salaried IT Employees,Female,Single,48976
ATQCUS1414,35-45,Chennai,Salaried Other Employees,Male,Married,42419
ATQCUS3009,45+,Mumbai,Government Employees,Female,Married,56316
ATQCUS3372,21-24,Chennai,Salaried Other Employees,Male,Single,29795
ATQCUS0289,25-34,Mumbai,Freelancers,Male,Married,33339
ATQCUS1516,35-45,Chennai,Government Employees,Male,Married,56530
ATQCUS2019,21-24,Mumbai,Salaried Other Employees,Female,Married,29380
ATQCUS3779,21-24,Mumbai,Salaried Other Employees,Female,Single,31521
ATQCUS1603,35-45,Hyderabad,Freelancers,Male,Married,36551
ATQCUS2000,45+,Hyderabad,Government Employees,Male,Married,58980
ATQCUS1715,45+,Mumbai,Business Owners,Male,Married,74750
ATQCUS0005,21-24,Mumbai,Salaried IT Employees,Male,Married,46732
ATQCUS2382,25-34,Chennai,Salaried IT Employees,Female,Married,65280
ATQCUS2412,25-34,Chennai,Salaried Other Employees,Female,Married,39722
ATQCUS1967,45+,Hyderabad,Salaried Other Employees,Male,Married,45293
ATQCUS0172,25-34,Mumbai,Salaried IT Employees,Male,Married,62524
ATQCUS3292,21-24,Delhi NCR,Freelancers,Male,Single,25862
ATQCUS2399,25-34,Chennai,Salaried Other Employees,Female,Married,38912
ATQCUS3222,21-24,Mumbai,Freelancers,Male,Single,28332
ATQCUS1375,35-45,Chennai,Salaried IT Employees,Male,Married,68311
ATQCUS3967,25-34,Bengaluru,Salaried Other Employees,Female,Single,39552
ATQCUS1416,35-45,Chennai,Salaried Other Employees,Male,Married,39455
ATQCUS0596,25-34,Bengaluru,Government Employees,Male,Married,51963
ATQCUS0917,35-45,Mumbai,Salaried IT Employees,Male,Married,62891
ATQCUS0891,35-45,Mumbai,Salaried IT Employees,Male,Married,64672
ATQCUS2068,21-24,Hyderabad,Salaried IT Employees,Female,Married,46827
ATQCUS2968,45+,Mumbai,Salaried IT Employees,Female,Married,75315
ATQCUS1291,35-45,Bengaluru,Freelancers,Male,Married,39726
ATQCUS2949,35-45,Hyderabad,Freelancers,Female,Married,36189
ATQCUS0836,25-34,Hyderabad,Business Owners,Male,Married,66800
ATQCUS2176,25-34,Mumbai,Government Employees,Female,Married,52218
ATQCUS0390,25-34,Delhi NCR,Salaried Other Employees,Male,Married,37383
ATQCUS2658,35-45,Delhi NCR,Salaried IT Employees,Female,Married,62735
ATQCUS1075,35-45,Delhi NCR,Salaried IT Employees,Male,Married,62738
ATQCUS3792,21-24,Mumbai,Freelancers,Female,Single,27803
ATQCUS0904,35-45,Mumbai,Salaried IT Employees,Male,Married,66601
ATQCUS0972,35-45,Mumbai,Salaried Other Employees,Male,Married,40937
ATQCUS3197,21-24,Mumbai,Salaried Other Employees,Male,Single,28747
ATQCUS3453,25-34,Mumbai,Salaried IT Employees,Male,Single,62174
ATQCUS0740,25-34,Chennai,Freelancers,Male,Married,33594
ATQCUS0091,21-24,Chennai,Salaried IT Employees,Male,Married,49735
ATQCUS2741,35-45,Bengaluru,Salaried Other Employees,Female,Married,39307
ATQCUS1704,45+,Mumbai,Business Owners,Male,Married,81122
ATQCUS3103,45+,Chennai,Salaried Other Employees,Female,Married,44719
ATQCUS2435,25-34,Chennai,Freelancers,Female,Married,36434
ATQCUS1047,35-45,Mumbai,Freelancers,Male,Married,36321
ATQCUS2431,25-34,Chennai,Freelancers,Female,Married,35389
ATQCUS1922,45+,Chennai,Salaried Other Employees,Male,Married,41532
ATQCUS3345,21-24,Bengaluru,Freelancers,Male,Single,24888
ATQCUS0915,35-45,Mumbai,Salaried IT Employees,Male,Married,69738
ATQCUS2328,25-34,Bengaluru,Freelancers,Female,Married,36307
ATQCUS0495,25-34,Bengaluru,Salaried Other Employees,Male,Married,40683
ATQCUS2427,25-34,Chennai,Business Owners,Female,Married,73119
ATQCUS3813,21-24,Delhi NCR,Salaried IT Employees,Female,Single,47151
ATQCUS0797,25-34,Hyderabad,Salaried IT Employees,Male,Married,59666
ATQCUS3917,25-34,Mumbai,Salaried IT Employees,Female,Single,60324
ATQCUS3542,25-34,Bengaluru,Salaried IT Employees,Male,Single,63024
ATQCUS1173,35-45,Delhi NCR,Freelancers,Male,Married,36294
ATQCUS2204,25-34,Delhi NCR,Salaried IT Employees,Female,Married,65784
ATQCUS1449,35-45,Chennai,Business Owners,Male,Married,74451
ATQCUS1522,35-45,Hyderabad,Salaried IT Employees,Male,Married,64930
ATQCUS2921,35-45,Hyderabad,Salaried Other Employees,Female,Married,39913
ATQCUS1495,35-45,Chennai,Freelancers,Male,Married,38803
ATQCUS3333,21-24,Bengaluru,Business Owners,Male,Single,53441
ATQCUS3742,21-24,Mumbai,Salaried IT Employees,Female,Single,48270
ATQCUS2719,35-45,Bengaluru,Salaried IT Employees,Female,Married,60789
ATQCUS3842,21-24,Bengaluru,Salaried IT Employees,Female,Single,50962
ATQCUS0384,25-34,Delhi NCR,Salaried Other Employees,Male,Married,38958
ATQCUS2608,35-45,Mumbai,Business Owners,Female,Married,72494
ATQCUS2674,35-45,Delhi NCR,Salaried Other Employees,Female,Married,40111
ATQCUS3657,35-45,Mumbai,Business Owners,Male,Single,77916
ATQCUS1599,35-45,Hyderabad,Freelancers,Male,Married,37202
ATQCUS0292,25-34,Mumbai,Freelancers,Male,Married,34571
ATQCUS1224,35-45,Bengaluru,Salaried IT Employees,Male,Married,64773
ATQCUS2992,45+,Mumbai,Business Owners,Female,Married,77714
ATQCUS0215,25-34,Mumbai,Business Owners,Male,Married,69308
ATQCUS0157,25-34,Mumbai,Salaried IT Employees,Male,Married,60555
ATQCUS1390,35-45,Chennai,Salaried IT Employees,Male,Married,68681
ATQCUS0601,25-34,Chennai,Salaried IT Employees,Male,Married,59934
ATQCUS3531,25-34,Delhi NCR,Freelancers,Male,Single,36083
ATQCUS2377,25-34,Chennai,Salaried IT Employees,Female,Married,61140
ATQCUS3142,21-24,Mumbai,Salaried IT Employees,Male,Single,49500
ATQCUS0786,25-34,Hyderabad,Salaried IT Employees,Male,Married,63075
ATQCUS2672,35-45,Delhi NCR,Salaried Other Employees,Female,Married,38678
ATQCUS0977,35-45,Mumbai,Salaried Other Employees,Male,Married,43849
ATQCUS0515,25-34,Bengaluru,Salaried Other Employees,Male,Married,39782
ATQCUS2910,35-45,Hyderabad,Salaried IT Employees,Female,Married,67054
ATQCUS1842,45+,Bengaluru,Salaried Other Employees,Male,Married,43884
ATQCUS1162,35-45,Delhi NCR,Business Owners,Male,Married,77512
ATQCUS1514,35-45,Chennai,Government Employees,Male,Married,55324
ATQCUS2917,35-45,Hyderabad,Salaried Other Employees,Female,Married,42861
ATQCUS1502,35-45,Chennai,Freelancers,Male,Married,37606
ATQCUS0530,25-34,Bengaluru,Business Owners,Male,Married,66810
ATQCUS0103,21-24,Chennai,Freelancers,Male,Married,26433
